numnodes = 16
[(11, 9), (11, 6), (8, 13)]
[(15, 7), (13, 4), (13, 14)]
[(11, 5), (9, 3), (4, 0)]
[(0, 13), (3, 8), (6, 14)]
[(11, 3), (11, 8), (8, 12)]
[(8, 0), (10, 14), (14, 12)]
[(0, 15), (7, 9), (15, 11)]
[(9, 4), (10, 1), (3, 14)]
[(12, 13), (12, 15), (0, 11)]
[(6, 13), (1, 11), (1, 14)]
[(6, 10), (11, 13), (7, 11)]
[(11, 2), (12, 13), (14, 10)]
[(8, 2), (10, 3), (15, 12)]
[(12, 13), (11, 5), (6, 15)]
[(9, 1), (8, 9), (5, 8)]
[(4, 15), (11, 10), (11, 4)]
[(0, 7), (6, 0), (3, 8)]
[(5, 15), (13, 7), (11, 8)]
[(8, 9), (5, 10), (15, 12)]
[(4, 6), (0, 7), (2, 5)]
[(3, 14), (12, 15), (11, 4)]
[(7, 15), (1, 11), (6, 3)]
[(11, 0), (6, 10), (4, 14)]
[(2, 14), (4, 3), (10, 9)]
[(8, 1), (9, 5), (9, 3)]
[(13, 11), (15, 13), (9, 3)]
[(2, 15), (11, 13), (14, 7)]
[(12, 7), (15, 14), (10, 4)]
[(2, 14), (3, 11), (13, 3)]
[(15, 10), (15, 7), (13, 9)]
[(15, 8), (5, 15), (4, 13)]
[(10, 7), (6, 7), (8, 1)]
[(8, 4), (9, 12), (13, 10)]
[(5, 10), (4, 15), (8, 11)]
[(8, 10), (8, 9), (11, 8)]
[(12, 6), (5, 10), (1, 4)]
[(14, 13), (4, 2), (10, 15)]
[(8, 4), (13, 15), (5, 2)]
[(4, 7), (10, 14), (11, 10)]
[(3, 9), (2, 3), (8, 14)]
[(10, 5), (15, 8), (15, 5)]
[(8, 1), (13, 15), (13, 8)]
[(13, 10), (1, 6), (5, 7)]
[(11, 13), (14, 3), (0, 9)]
[(0, 9), (0, 1), (12, 8)]
[(5, 8), (14, 10), (15, 1)]
[(13, 12), (0, 13), (11, 7)]
[(11, 8), (8, 14), (2, 8)]
[(2, 5), (15, 11), (3, 9)]
[(10, 0), (15, 6), (9, 12)]
[(1, 14), (3, 15), (3, 13)]
[(0, 3), (11, 10), (14, 8)]
[(1, 8), (4, 1), (13, 12)]
[(8, 6), (3, 14), (3, 9)]
[(8, 15), (2, 11), (7, 5)]
[(5, 1), (6, 12), (12, 4)]
[(1, 6), (7, 6), (7, 9)]
[(1, 2), (8, 15), (2, 11)]
[(0, 11), (15, 3), (11, 5)]
[(6, 10), (3, 14), (1, 9)]
[(4, 8), (5, 0), (13, 11)]
[(15, 7), (5, 9), (1, 15)]
[(9, 8), (1, 13), (3, 1)]
[(5, 3), (13, 7), (6, 3)]
[(8, 7), (10, 13), (10, 0)]
[(15, 6), (1, 4), (6, 0)]
[(10, 8), (3, 7), (0, 3)]
[(3, 11), (4, 15), (1, 12)]
[(8, 14), (11, 13), (0, 15)]
[(9, 4), (0, 10), (5, 10)]
[(10, 14), (13, 9), (14, 11)]
[(1, 4), (2, 15), (13, 5)]
[(7, 13), (7, 1), (14, 2)]
[(15, 13), (13, 7), (7, 3)]
[(9, 5), (4, 0), (13, 7)]
[(3, 13), (6, 7), (7, 12)]
[(15, 5), (10, 14), (10, 1)]
[(3, 4), (10, 4), (0, 8)]
[(11, 1), (15, 13), (7, 6)]
[(12, 4), (4, 1), (4, 13)]
[(6, 10), (1, 2), (5, 14)]
[(5, 13), (3, 6), (9, 5)]
[(2, 14), (1, 15), (0, 2)]
[(13, 6), (8, 12), (2, 8)]
[(1, 15), (9, 10), (15, 0)]
[(8, 3), (13, 3), (7, 4)]
[(4, 8), (13, 2), (6, 10)]
[(8, 11), (6, 12), (5, 13)]
[(13, 9), (11, 7), (10, 8)]
[(14, 3), (0, 4), (5, 15)]
[(9, 1), (15, 3), (3, 6)]
[(15, 3), (15, 0), (14, 12)]
[(10, 2), (9, 15), (7, 14)]
[(4, 10), (1, 13), (11, 6)]
[(12, 4), (0, 3), (1, 8)]
[(11, 5), (2, 0), (4, 8)]
[(9, 7), (4, 15), (9, 10)]
[(8, 5), (9, 8), (5, 10)]
[(9, 11), (1, 5), (1, 4)]
[(0, 14), (2, 4), (11, 12)]
